Timeline;Deviation;TimeUnits;Eon;Era;Period;Epoch;Age;Chron
4567.17; +/- 0.7;Ma;Hadean;;;;;
3800; +/- 0;Ma;Archean;Eoarchean;;;;
3600; +/- 0;Ma;Archean;Paleoarchean;;;;
3200; +/- 0;Ma;Archean;Mesoarchean;;;;
2800; +/- 0;Ma;Archean;Neoarchean;;;;
2500; +/- 0;Ma;Proterozoic;Paleoproterozoic;Siderian;;;
2300; +/- 0;Ma;Proterozoic;Paleoproterozoic;Rhyacian;;;
2050; +/- 0;Ma;Proterozoic;Paleoproterozoic;Orosirian;;;
1800; +/- 0;Ma;Proterozoic;Paleoproterozoic;Statherian;;;
1600; +/- 0;Ma;Proterozoic;Mesoproterozoic;Calymmian;;;
1400; +/- 0;Ma;Proterozoic;Mesoproterozoic;Ectasian;;;
1200; +/- 0;Ma;Proterozoic;Mesoproterozoic;Stenian;;;
1000; +/- 0;Ma;Proterozoic;Neoproterozoic;Tonian;;;
850; +/- 0;Ma;Proterozoic;Neoproterozoic;Cryogenian;;;
630; +5/-30;Ma;Proterozoic;Neoproterozoic;Ediacaran;;;
542; +/- 0.3;Ma;Phanerozoic;Paleozoic;Cambrian;Early Cambrian;;
513; +/- 2;Ma;Phanerozoic;Paleozoic;Cambrian;Middle Cambrian;;
501; +/- 2;Ma;Phanerozoic;Paleozoic;Cambrian;Late Cambrian;Paibian;
488.3; +/- 1.7;Ma;Phanerozoic;Paleozoic;Ordovician;Early Ordovician;Tremadocian;
478.6; +/- 1.7;Ma;Phanerozoic;Paleozoic;Ordovician;Early Ordovician;Arenig;
471.8; +/- 1.6;Ma;Phanerozoic;Paleozoic;Ordovician;Middle Ordovician;Ordovician III;
468.1; +/- 1.6;Ma;Phanerozoic;Paleozoic;Ordovician;Middle Ordovician;Darriwilian;
460.9; +/- 1.6;Ma;Phanerozoic;Paleozoic;Ordovician;Late Ordovician;Ordovician V;
455.8; +/- 1.6;Ma;Phanerozoic;Paleozoic;Ordovician;Late Ordovician;Ordovician VI;
445.6; +/- 1.5;Ma;Phanerozoic;Paleozoic;Ordovician;Late Ordovician;Hirnantian;
443.7; +/- 1.5;Ma;Phanerozoic;Paleozoic;Silurian;Early Silurian;Llandovery;Rhuddanian
439; +/- 1.8;Ma;Phanerozoic;Paleozoic;Silurian;Early Silurian;Llandovery;Aeronian
436; +/- 1.9;Ma;Phanerozoic;Paleozoic;Silurian;Early Silurian;Llandovery;Telychian
428.2; +/- 2.3;Ma;Phanerozoic;Paleozoic;Silurian;Early Silurian;Wenlock;Sheinwoodian
426.2; +/- 2.4;Ma;Phanerozoic;Paleozoic;Silurian;Early Silurian;Wenlock;Homerian
422.9; +/- 2.5;Ma;Phanerozoic;Paleozoic;Silurian;Late Silurian;Ludlow;Gorstian
421.3; +/- 2.6;Ma;Phanerozoic;Paleozoic;Silurian;Late Silurian;Ludlow;Ludfordian
418.7; +/- 2.7;Ma;Phanerozoic;Paleozoic;Silurian;Late Silurian;Pridoli;
416; +/- 2.8;Ma;Phanerozoic;Paleozoic;Devonian;Early Devonian;Lochkovian;
411.2; +/- 2.8;Ma;Phanerozoic;Paleozoic;Devonian;Early Devonian;Praghian;
407; +/- 2.8;Ma;Phanerozoic;Paleozoic;Devonian;Early Devonian;Emsian;
397.5; +/- 2.7;Ma;Phanerozoic;Paleozoic;Devonian;Middle Devonian;Eifelian;
391.8; +/- 2.7;Ma;Phanerozoic;Paleozoic;Devonian;Middle Devonian;Givetian;
385.3; +/- 2.6;Ma;Phanerozoic;Paleozoic;Devonian;Late Devonian;Frasnian;
374.5; +/- 2.6;Ma;Phanerozoic;Paleozoic;Devonian;Late Devonian;Famennian;
359.2; +/- 2.5;Ma;Phanerozoic;Paleozoic;Carboniferous;Mississippian;Early Mississippian;Tournaisian
345.3; +/- 2.1;Ma;Phanerozoic;Paleozoic;Carboniferous;Mississippian;Middle Mississippian;Visean
326.4; +/- 1.6;Ma;Phanerozoic;Paleozoic;Carboniferous;Mississippian;Late Mississippian;Serpukhovian
318.1; +/- 1.3;Ma;Phanerozoic;Paleozoic;Carboniferous;Pennsylvanian;Early Pennsylvanian;Bashkirian
311.7; +/- 1.1;Ma;Phanerozoic;Paleozoic;Carboniferous;Pennsylvanian;Middle Pennsylvanian;Moscovian
306.5; +/- 1;Ma;Phanerozoic;Paleozoic;Carboniferous;Pennsylvanian;Late Pennsylvanian;Kasimovian
303.9; +/- 0.9;Ma;Phanerozoic;Paleozoic;Carboniferous;Pennsylvanian;Late Pennsylvanian;Gzhelian
299; +/- 0.8;Ma;Phanerozoic;Paleozoic;Permian;Early Permian;Asselian;
294.6; +/- 0.8;Ma;Phanerozoic;Paleozoic;Permian;Early Permian;Sakmarian;
284.4; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Early Permian;Artinskian;
275.6; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Early Permian;Kungurian;
270.6; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Middle Permian;Roadian;
268; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Middle Permian;Wordian;
265.8; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Middle Permian;Capitanian;
260.4; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Late Permian;Wuchiapingian;
253.8; +/- 0.7;Ma;Phanerozoic;Paleozoic;Permian;Late Permian;Changhsingian;
251; +/- 0.4;Ma;Phanerozoic;Mesozoic;Triassic;Early Triassic;Induan;
249.7; +/- 0.7;Ma;Phanerozoic;Mesozoic;Triassic;Early Triassic;Olenekian;
245; +/- 1.5;Ma;Phanerozoic;Mesozoic;Triassic;Middle Triassic;Anisian;
237; +/- 2;Ma;Phanerozoic;Mesozoic;Triassic;Middle Triassic;Ladinian;
228; +/- 2;Ma;Phanerozoic;Mesozoic;Triassic;Late Triassic;Carnian;
